Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
,HBH2mppWdny8NBgxm61DjDqBzNLymn8fZFkFX6JnSAX6,100.25137,2.363,83.01%,88.92%,N
✨ Starfire [0% fee +MEV],C6o1toH7rriz2DocmgTw6JzFbJdLpQ9w2QsjeKQQinfZ,70.21819,1.309,95.87%,99.87%,N
,HCvnhbT3Sn5RsueDisWzzn5FkW8tAqoQK1dr7cvAVzin,64.16280,1.572,91.27%,97.31%,N
👋🏼 Heystakes🙋 Stakers First.,HeyVYASPrUcKBwV25axjdjjWzXbMs4sR5XCEt1u2f2N1,52.00162,1.458,92.81%,98.42%,N
,9e3pdMefLQxQPsdYf2UwEZ3bFXFtG6uDhTLHUNgVbMRP,51.42461,1.972,74.80%,96.13%,N
,2rrET16i1JW4PueBpiShFDbHDBPd9KXTp51rW2YsfMna,46.59577,1.733,84.34%,99.47%,N
,4m833YwMhQzok51o57kPGkhF1XVHbt7sdqV3NAJZpeHe,43.29569,1.691,86.66%,95.44%,N
TYO 0% MEV/Validator commission,4SMxMpQ2uaF5chFaMg1NwSg4oppoPBrbncKCBeQsxKi2,18.58688,2.030,75.84%,96.94%,N
DeVision,DeVoo144N6iZuZSQPm8uKRrQRtUSFqDmoi5t6E4WQasT,17.34072,1.976,78.78%,94.09%,N
0% fee✅ + 🚀High APY + MEV🔥 Max Profit,HSrVYheVzxb298uP83jFpS3ZHAEk8jJfJ25cbnnZ2gBp,13.32414,1.571,94.65%,99.59%,N
GLD Technologies,CxFe8PsDXAuzgZzP7N8um59iL517Lz8SWtPahbfU9zVo,6.31169,1.349,95.36%,99.76%,N
EdoYiM & Cyf,2pMnLsfMFoZgvYWN8MVYTjdKTtPmRJ1SAMTctCAmrRbz,3.02298,2.187,74.30%,86.30%,N
Pier Two,DierScgiTrz5AM7mddeJLHYNvafym3XhjjdM51AnKevU,2.98557,2.003,78.14%,88.61%,N
,xaNDLhifeWD4rmW4QmTghZ6q3AoKb2ifRaiGhxMwDSv,1.99872,1.810,83.14%,90.33%,N
,proofK5zwB5eo5q6UWnFKiDHxyh8wopP5Bq1aXVnouw,1.49995,1.920,79.90%,88.48%,N
PIT 0% Validator | No commission!,9iFqFRaQL7dHcmqJwfy4RZaTB64ne7S9iL8GuPMfD7f4,1.12549,1.335,96.44%,99.73%,N
ThunderBoltSOL,5QvSK8g7Veg7W9cACqG4sxNjYbexUArMTFJp7PVpFjmg,1.11298,1.727,87.31%,99.53%,N
,6X8ZbfHrRgmLuPBRAsxDMjUv49yAt9T4M9W8WxXU7cQf,1.10013,1.569,93.24%,98.84%,N
HODL,8eJ3ua6hGSbg1db5uLoiWzTyyB8D8nnEHZB41f8JQ84g,0.01080,1.478,93.17%,99.00%,N
,LUM3Ur6VsoBygnLvmU1JjBKJCwFFs21iuohgjwQj8JV,0.00872,1.600,89.98%,96.70%,N
seanode,Gi1gB3t3pimTQcg5VxvuKWqVxs9w6VXMeu2jsvfcthF6,0.00000,N/A,N/A%,N/A%,N
,NiAtsR9wJC66TksBLxguTeVvCzxrKHGJKodMGcSjzGJ,0.00000,N/A,N/A%,N/A%,N
comr8_nga,8jcD4kdVWqMWCftK6GYEhEwDvYyT38JMxUpNAnucfaoX,0.00000,N/A,N/A%,N/A%,N
,SMiXytR2PzfroS7cHz7b4Gqd6xQNT4NmGu5aiHPm8hq,0.00000,N/A,N/A%,N/A%,N
A2Z Node,9rCjrRUhbVtgRLZJkqrbdaQCujrGo2asoHRRwmT6KiSW,0.00000,N/A,N/A%,N/A%,N
,BLy23csJMYqmXaDVseojGWzBWxYJwRddLnLBy91sWxMq,0.00000,N/A,N/A%,N/A%,N
Aviasim,3pkUgFgRcKsopSuL2rVwc8g9rGJZDCKLciL16krEqzmP,0.00000,N/A,N/A%,N/A%,N
,5xaCbKhVdjvS2LMFbZe24TgJiVHaAEUXWswS8vTmFDLZ,0.00000,N/A,N/A%,N/A%,N
Litx - 0% Commission,UPG3TJHUZLVzDdtqTbQ81mWvum7Equsjju5YtNJ45Pe,0.00000,N/A,N/A%,N/A%,N
01node,7AQa5QwjMgCPPYMf9n1eJvCAww6q93Mfhgjss2vYSCVs,0.00000,N/A,N/A%,N/A%,N
01node,4QkWUd7N3H2jXPn9reGJHYKNyrNKL7EAtei1fRhwZxsc,0.00000,N/A,N/A%,N/A%,N
Iservers,C1JTL6E1yY9vGHhUpiGCvSn7yka2Hadnk3jyB6hxgpi,0.00000,N/A,N/A%,N/A%,N
seanode,9552Z4WkZnNswxxAhrwfDrD6or743nQj2vneZwEgWfCo,0.00000,N/A,N/A%,N/A%,N
@bftpapi,GkzMZUHJRrxr7GzJ4o7zWigUQJSFDBgPkXrYsXngwU7z,0.00000,N/A,N/A%,N/A%,N
,Ex4vuUmGDnA8XAWUQLZreJPpzSWizaeHY1DqbzUZJoQJ,0.00000,N/A,N/A%,N/A%,N
Radiants,radV9yVr15kYYdVjzaK1s35cKdYDxtT9AaTku9UJ5Xj,0.00000,N/A,N/A%,N/A%,N
,BpzyncaYq7mgs25EsYFLviqsQozVh8Tcg5r8SHKgzvWd,0.00000,N/A,N/A%,N/A%,N
Serhio911,Gmoe8Fa1tv1b4MqqGL1UaFqgaosDvG7F3NP2joXpzGss,0.00000,N/A,N/A%,N/A%,N
TKTN,8bqQZKNDs1jBysJhwJB8xqYdFr5t3Yqbrk1dqhvEnQrD,0.00000,N/A,N/A%,N/A%,N
,E3xVQ5Lyqmp9fzhvysWLPfiQirhmsAqBvMXzuWxcri63,0.00000,N/A,N/A%,N/A%,N
StakeRocket,DoGj8GWeHSn5yFRSY6eFDztLZq6wbaYr9MByoaaYjnDS,0.00000,N/A,N/A%,N/A%,N
web3ident,cokww994BvGJovauZrQE6rq1oMnA9Zt8UTQnY1tAm5W,0.00000,N/A,N/A%,N/A%,N
Node Doctor,jYzXKDKLHMFbMZhAZpFJw9KihTwfnYYwpTyxCz2wcgP,0.00000,N/A,N/A%,N/A%,N
Mors,HMpU18R172tuTUGr2Muf9MnEjanhs3Nnbj9obRSLFZ7Q,0.00000,N/A,N/A%,N/A%,N
Blockscope.net,4MJ9Xooe6WHG32qiQSKrGZqctCVdx9Jc6murk4rcrBWt,0.00000,N/A,N/A%,N/A%,N
Accountant Validator,AKVVFLXCy93poVKNUrWVbMJ97kvsx36Az3D5ANdEb9mU,0.00000,N/A,N/A%,N/A%,N
Cryptosapiens Staking,Eu4S3UYcknkejoRjKHwFPYR9CrGTJKs5tUn8uFVKb9Qt,0.00000,N/A,N/A%,N/A%,N
mSOL,52z5KoJK3StJj5WB9PBgUKZ9mUr4tskfqk2UswrjKqhs,0.00000,N/A,N/A%,N/A%,N
,Dc2UCgK6MTPUXgZncfH7dNweBF9SCgcBRKgPZHaL4roi,0.00000,N/A,N/A%,N/A%,N
GPvalidator,3n6beoog8CUZ6e6scUhvrpNii421h2DVBUpNKDGMvLtB,0.00000,N/A,N/A%,N/A%,N
GERvalidator 🇩🇪,zbEaRULo6RYPpyJZ8zkAAM4PJajuxKuzs4RdWjnfvGw,0.00000,N/A,N/A%,N/A%,N
Payler,3TpYG5n3mk6cgn2EfGWjVbDHtKHvShZ7ENrxNkJsq9xH,0.00000,N/A,N/A%,N/A%,N
,Bw8sw7z5oC3TKbh9TAwMhjuCpV5YYezLebDyMdxmEz48,0.00000,N/A,N/A%,N/A%,N
MoneyLong + MEV,C6Sbza8h1fZ2ymmHyqGhosZDaPJEJ4vPKxBRaY254Mw6,0.00000,N/A,N/A%,N/A%,N
Lifinity Protocol,CbSmrSZ1wcbhF5HY7MvdgfEmzkiaKkgN98xBAoawHgdS,0.00000,N/A,N/A%,N/A%,N
Banana staking + Jito MEV,DvMLeiRbqnuaWEW3dLHL5exexiLnAQZBYTdQLGrPNRQh,0.00000,N/A,N/A%,N/A%,N
,Je1LTmuCLzfAWbEfAuUNXHv6i72HZPJSicRtSGGZ95c,0.00000,N/A,N/A%,N/A%,N
,irdEwJaWw5tihyUbf4XKeNKbDaAMqBHhZ2ZBST2dnhp,0.00000,N/A,N/A%,N/A%,N
Crypto Plant,7u7MR7wh5Vv7yhj47UBWLkr1yLQusBb7MAg3N9uRkbv4,0.00000,N/A,N/A%,N/A%,N
,D6xChnjpy8SNGiKYZmipMkvvTo3dwuaYTfth5zEB2st2,0.00000,N/A,N/A%,N/A%,N
,6yg4Usyr8VkvY8m7wrbLHegKVnKaAQmEwS6cuGnwB6wT,0.00000,N/A,N/A%,N/A%,N
lal,JAd4nUn6UN3CbR1ESnsV9Dha3BBUmMVzmBXyUjjebSdG,0.00000,N/A,N/A%,N/A%,N
Appload 🚀 maximize your profit,8y7QS2s8RsrM9nBacPvqyRSQ9W5znw57wmMWvSVPYwZr,0.00000,N/A,N/A%,N/A%,N
,E7hM2qxC4edVYxnfLv3hpbjqP7Ps31QAW3EoW9qZg6Vf,0.00000,N/A,N/A%,N/A%,N
,NikkLAKj6awJkM5PgYEUXFVbyKZMeUWY5JpQtz7vpQf,0.00000,N/A,N/A%,N/A%,N
Solana Iservers,Fa9PYem469gkUco2uGArcJR6k5dBQqMeQcrxoRdkoZA9,0.00000,N/A,N/A%,N/A%,N
Kotofix 0%,44MUR8uuQZZvNBe9qGBud1EtgYBsUndpiYLAae6HYUc1,0.00000,N/A,N/A%,N/A%,N
A2Z Node,4R8fumBo51jmuaCpbh8KqmggCwmwcQ4RRAEbmGtLLv12,0.00000,N/A,N/A%,N/A%,N
,Gh64v29qbKHpc5v3Sb11T9owFwZp8yRjxc7c4UdiFino,0.00000,N/A,N/A%,N/A%,N
BONK - Powered by Jito,J1to4SUCREc6FBbf7gTBtq3QpXqh4Xu53Z9dp33oD3Cf,0.00000,N/A,N/A%,N/A%,N
DriveSol,Dex2AW5B9VDkkJ36wzuS5WB8CXHw8VhJwF4WT5no5B9H,0.00000,N/A,N/A%,N/A%,N
Urban Node,7uZnUJuAddyQJDwy1xujP5Uxfhy8m6MAdqSFpVSJ9Ls2,0.00000,N/A,N/A%,N/A%,N
